gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnBinary,ARPM,CLV_proxy,ServiceCount,ContractRiskScore,TenureSegment,ChargesSegment,HighRiskFlag,ElectronicCheckFlag,NewCustomerFlag,LongTermCustomerFlag,PremiumCustomerFlag,TotalRiskScore
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,1,30.2,30.2,2,3,New,Low,0,1,1,0,0,5
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0,88.46458333333334,6498.0,9,1,Loyal,Premium,0,0,0,1,1,1
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1,64.3,1099.9,4,3,Developing,Medium,0,0,0,0,0,3
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0,95.30915492957746,6840.849999999999,7,1,Loyal,Premium,0,0,0,1,1,1
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0,90.825,191.0,5,3,New,Premium,1,0,1,0,1,5
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,0,69.42407407407407,1786.0500000000002,6,2,Established,Medium,0,0,0,0,0,2
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,20.2,20.2,1,3,New,Low,0,0,1,0,0,4
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,45.25,45.25,2,3,New,Medium,0,0,1,0,0,4
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0,100.71805555555555,7192.8,7,1,Loyal,Premium,0,0,0,1,1,1
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,1,63.379999999999995,348.5,2,3,New,Medium,0,1,1,0,0,5
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0,77.13695652173914,3440.7999999999997,3,3,Established,High,0,0,0,1,0,3
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,1,104.38970588235294,3615.8999999999996,7,3,Established,Premium,0,1,0,0,1,4
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,1,100.4909090909091,1076.35,6,3,New,Premium,1,0,0,0,1,4
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0,47.57,495.5,3,2,New,Medium,0,0,0,0,0,2
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0,69.605,4844.0,6,1,Loyal,Medium,0,0,0,1,0,1
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0,24.602941176470587,352.75,1,2,Developing,Low,0,0,0,0,0,2
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0,77.16587301587302,5030.549999999999,8,1,Loyal,High,0,0,0,1,0,1
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,0,75.49615384615385,990.6,7,3,Developing,High,0,1,0,0,0,4
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0,79.72857142857143,4140.5,4,3,Loyal,High,0,1,0,1,0,4
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0,48.5,98.5,3,3,New,Medium,0,0,1,0,0,4
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,1,72.075,161.3,3,3,New,High,1,1,1,0,0,6
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0,81.11153846153846,4147.0,7,1,Loyal,High,0,0,0,1,0,1
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0,61.6536231884058,4426.35,6,1,Loyal,Medium,0,0,0,1,0,1
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0,89.27325581395348,3880.75,5,3,Established,Premium,0,1,0,1,1,4
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1,95.09333333333333,1486.5,6,3,Developing,Premium,0,0,0,0,1,3
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0,70.10600000000001,1737.5,6,3,Established,Medium,0,0,0,0,0,3
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,1,79.1625,645.2,4,3,New,High,1,0,0,0,0,4
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0,74.27250000000001,4491.0,7,2,Loyal,High,0,0,0,1,0,2
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1,97.36388888888888,1718.1000000000001,5,3,Developing,Premium,0,1,0,0,1,4
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0,100.17777777777778,6277.950000000001,6,2,Loyal,Premium,0,0,0,1,1,2
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0,107.21742424242424,7157.7,8,2,Loyal,Premium,0,1,0,1,1,3
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0,26.302941176470586,848.3,2,1,Established,Low,0,0,0,0,0,1
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0,109.07916666666667,7740.0,7,1,Loyal,Premium,0,0,0,1,1,1
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0,100.15106382978725,4723.5,6,3,Established,Premium,0,1,0,1,1,4
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0,90.845,5394.0,5,3,Loyal,Premium,0,0,0,1,1,3
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0,41.138888888888886,3031.2000000000003,4,1,Loyal,Medium,0,0,0,1,0,1
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,0,53.172222222222224,979.1999999999999,4,2,Developing,Medium,0,0,0,0,0,2
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,1,95.25,849.6,5,3,New,Premium,1,1,0,0,1,5
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0,81.36666666666666,225.89999999999998,6,3,New,High,1,1,1,0,0,6
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0,77.66702127659575,3708.3,4,2,Established,High,0,1,0,1,0,3
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,0,80.55483870967741,2455.2000000000003,7,1,Established,High,0,0,0,0,0,1
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,18.618,1007.4999999999999,1,1,Loyal,Low,0,0,0,1,0,1
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0,88.735,798.5,4,3,New,High,1,0,0,0,0,4
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0,49.05,49.05,3,3,New,Medium,0,0,1,0,0,4
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0,20.974038461538463,1060.8,1,2,Loyal,Low,0,1,0,1,0,3
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0,110.921875,7142.4,8,1,Loyal,Premium,0,0,0,1,1,1
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,22.97741935483871,1503.5,2,1,Loyal,Low,0,0,0,1,0,1
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0,59.13333333333333,193.5,5,3,New,Medium,0,0,1,0,0,4
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,0,109.63392857142857,6188.0,8,2,Loyal,Premium,0,1,0,1,1,3
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0,58.45326086956521,2559.9,3,2,Established,Medium,0,0,0,1,0,2
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0,60.28125,437.2,4,3,New,Medium,0,0,0,0,0,3
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0,70.37666666666668,2242.5,6,3,Established,High,0,1,0,0,0,4
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,27.035555555555554,1165.5,2,2,Established,Low,0,0,0,1,0,2
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,79.35,79.35,3,3,New,High,1,1,1,0,0,6
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0,51.39545454545455,556.05,4,3,New,Medium,0,1,0,0,0,4
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,1,70.98571428571428,526.0500000000001,3,3,New,High,1,0,0,0,0,4
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0,103.03571428571429,4359.599999999999,7,3,Established,Premium,0,0,0,1,1,3
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,19.864285714285714,987.3499999999999,1,1,Loyal,Low,0,0,0,1,0,1
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0,102.08333333333333,893.6999999999999,6,3,New,Premium,1,0,0,0,1,4
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0,63.29857142857142,2175.25,4,2,Established,Medium,0,0,0,0,0,2
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0,22.020833333333332,991.1999999999999,1,1,Established,Low,0,0,0,1,0,1
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0,20.15434782608696,917.6999999999999,1,1,Established,Low,0,0,0,1,0,1
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0,34.80172413793103,978.75,2,3,Established,Low,0,0,0,0,0,3
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0,85.67333333333333,2461.5,4,3,Established,High,0,0,0,0,0,3
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0,74.7,74.7,3,3,New,High,1,1,1,0,0,6
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0,86.57954545454545,5544.0,8,1,Loyal,High,0,0,0,1,0,1
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0,109.33846153846154,7218.25,8,3,Loyal,Premium,0,0,0,1,1,3
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0,103.59791666666666,7264.8,7,1,Loyal,Premium,0,0,0,1,1,1
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,1,77.27916666666667,947.4000000000001,4,3,New,High,0,1,0,0,0,4
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,0,66.8830985915493,4746.349999999999,6,2,Loyal,Medium,0,0,0,1,0,2
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,1,22.77,105.25,1,3,New,Low,0,0,1,0,0,4
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0,21.292307692307695,1092.0,1,1,Loyal,Low,0,0,0,1,0,1
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,1,100.58,2462.5,6,3,Established,Premium,0,1,0,0,1,4
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0,20.2,20.2,1,3,New,Low,0,0,1,0,0,4
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0,19.45,19.45,1,3,New,Low,0,1,1,0,0,5
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,0,94.88421052631578,3610.0,6,2,Established,Premium,0,0,0,1,1,2
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0,45.86742424242424,3006.2999999999997,4,2,Loyal,Medium,0,0,0,1,0,2
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,1,111.93897058823529,7480.0,8,1,Loyal,Premium,0,0,0,1,1,1
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,20.04,121.5,1,3,New,Low,0,0,1,0,0,4
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0,101.43125,7498.8,7,2,Loyal,Premium,0,1,0,1,1,3
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,0,28.9890625,964.8,2,2,Established,Low,0,0,0,0,0,2
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,0,91.19302325581396,4057.0499999999997,5,2,Established,Premium,0,0,0,1,1,2
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0,18.93402777777778,1396.8,1,1,Loyal,Low,0,0,0,1,0,1
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,1,95.25272727272727,5321.25,6,3,Loyal,Premium,0,1,0,1,1,4
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,0,58.50480769230769,3013.4,5,2,Loyal,Medium,0,0,0,1,0,2
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0,91.95581395348837,3940.9500000000003,5,3,Established,Premium,0,1,0,1,1,4
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,1,77.51756756756757,2830.5,3,3,Established,High,0,1,0,1,0,4
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,0,53.4921875,3494.4,5,1,Loyal,Medium,0,1,0,1,0,2
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,0,82.8,269.54999999999995,5,3,New,High,1,1,1,0,0,6
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,0,31.287499999999998,1117.8,2,1,Established,Low,0,0,0,0,0,1
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,1,106.465,1002.5,6,3,New,Premium,1,1,0,0,1,5
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,0,20.36951219512195,846.65,1,1,Established,Low,0,0,0,1,0,1
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,0,79.68888888888888,2300.4,5,3,Established,High,0,0,0,0,0,3
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,0,98.49017857142857,5588.8,6,2,Loyal,Premium,0,0,0,1,1,2
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,0,18.791666666666668,124.19999999999999,1,3,New,Low,0,0,0,0,0,3
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,1,76.51666666666667,223.20000000000002,3,3,New,High,1,1,1,0,0,6
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0,0,50.050000000000004,354.90000000000003,3,3,New,Medium,0,0,0,0,0,3
